City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Tirumullaivasal,IN,86.16,moderate rain,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
11,Butaritari,KI,83.08,overcast clouds,3.07,172.79,Isles Sunset Lodge
14,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Jieshi,CN,85.35,scattered clouds,22.81,115.83,Yuehai Hotel
19,Maria Chiquita,PA,77.0,few clouds,9.44,-79.76,La Casa del Rio
23,Hasaki,JP,81.0,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
24,Ixtapa,MX,78.01,very heavy rain,20.7,-105.2,Container Inn Puerto Vallarta
35,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
43,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
46,Erzin,TR,79.0,clear sky,36.96,36.2,Artemis Otel
48,Abu Kamal,SY,78.13,clear sky,34.45,40.92,محطة التلفاز
49,Shingu,JP,87.8,broken clouds,33.73,135.98,Shingu UI Hotel
55,Almeirim,BR,75.42,clear sky,-1.52,-52.58,Ricácio Hotel
56,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
57,Jodhpur,IN,88.21,scattered clouds,26.29,73.03,"Umaid Bhawan Palace, Jodhpur"
68,Atuona,PF,78.62,clear sky,-9.8,-139.03,Villa Enata
72,Saint Anthony,US,77.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
73,Padang,ID,81.46,light rain,-0.95,100.35,Mercure Padang
87,Sao Filipe,CV,78.6,scattered clouds,14.9,-24.5,Tortuga B&B
94,Aksu,CN,83.93,clear sky,41.12,80.26,Pudong Holiday Hotel
95,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
110,Hithadhoo,MV,83.39,light rain,-0.6,73.08,Scoop Guest House
111,Thiruvananthapuram,IN,86.0,scattered clouds,8.48,76.92,Hotel Residency Tower
113,Cabo San Lucas,MX,82.99,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
114,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
115,Isangel,VU,86.0,few clouds,-19.55,169.27,Volcano Sea View Tree House
124,Kapaa,US,84.2,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
125,Surt,LY,77.13,clear sky,31.21,16.59,City Hotel
126,Elat,IL,76.28,clear sky,29.56,34.95,Club Hotel Eilat
127,Manavalakurichi,IN,86.0,scattered clouds,8.13,77.3,Udaya Boys Hostel
128,Keelung,TW,87.8,broken clouds,25.13,121.74,East Coast Star Boutique Hotel
132,Kavieng,PG,80.96,overcast clouds,-2.57,150.8,Nusa Island Retreat
133,Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
134,Puerto Del Rosario,ES,77.0,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
135,Sarangani,PH,84.34,overcast clouds,5.4,125.46,Ballistic Islet
140,Termoli,IT,78.01,clear sky,41.99,14.99,Hotel Mistral
141,Nador,MA,78.8,clear sky,35.17,-2.93,Hôtel La Giralda
147,Asyut,EG,75.2,clear sky,27.18,31.18,Florence Hotel Assiut
150,Bengkulu,ID,85.26,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
152,Kingsville,US,82.0,few clouds,27.52,-97.86,Econo Lodge Kingsville
155,Victoria,HK,89.6,few clouds,22.29,114.16,Mini Hotel Central
161,Kendari,ID,84.2,scattered clouds,-3.94,122.5,Hotel Wixel
166,Mecca,SA,86.45,few clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
172,Liberty,US,75.99,broken clouds,31.83,-81.5,Sasser Trailer Park
176,Tahara,JP,90.0,overcast clouds,34.67,137.27,Tahara City Hotel
177,Korla,CN,84.2,clear sky,41.76,86.15,Gulisitan Hotel
