City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Moses Lake,47.13,-119.28,80.6,24,1,6.93,US,2020-08-22 21:53:35
1,Punta Arenas,-53.15,-70.92,41.0,65,40,32.21,CL,2020-08-22 21:53:35
2,Vaini,-21.2,-175.2,77.0,88,40,10.29,TO,2020-08-22 21:51:50
3,Orlik,52.52,99.83,50.04,79,100,1.59,RU,2020-08-22 21:53:36
4,Jiangyou,31.77,104.72,71.87,86,100,4.16,CN,2020-08-22 21:53:37
5,Churapcha,62.0,132.43,45.36,56,0,5.66,RU,2020-08-22 21:53:37
6,Hami,42.8,93.45,74.57,28,0,7.27,CN,2020-08-22 21:53:38
7,Ibra,22.69,58.53,79.52,69,99,3.58,OM,2020-08-22 21:53:39
8,Verkhoyansk,67.54,133.38,39.67,73,81,2.73,RU,2020-08-22 21:53:39
9,Puerto Ayora,-0.74,-90.35,73.4,64,84,18.34,EC,2020-08-22 21:51:26
10,Luderitz,-26.65,15.16,65.16,26,0,5.93,NA,2020-08-22 21:53:40
11,Ponta Do Sol,32.67,-17.1,75.2,69,40,14.99,PT,2020-08-22 21:52:12
12,Atuona,-9.8,-139.03,78.17,79,48,18.57,PF,2020-08-22 21:53:42
13,Avarua,-21.21,-159.78,77.0,73,11,16.11,CK,2020-08-22 21:53:42
14,Baykit,61.67,96.37,57.15,88,100,0.43,RU,2020-08-22 21:53:42
15,Hobart,-42.88,147.33,46.4,81,75,6.93,AU,2020-08-22 21:51:47
16,Havre-Saint-Pierre,50.23,-63.6,60.8,67,1,16.11,CA,2020-08-22 21:53:43
17,Kodiak,57.79,-152.41,60.8,72,1,8.05,US,2020-08-22 21:53:44
18,Albany,42.6,-73.97,87.01,42,0,6.71,US,2020-08-22 21:51:49
19,Dikson,73.51,80.55,47.89,75,95,7.61,RU,2020-08-22 21:53:37
20,Zabaykalsk,49.63,117.32,60.4,83,100,0.69,RU,2020-08-22 21:53:46
21,Kieta,-6.22,155.63,83.25,70,100,5.1,PG,2020-08-22 21:53:46
22,Saldanha,-33.01,17.94,50.0,87,1,4.7,ZA,2020-08-22 21:53:30
23,Saint Anthony,45.02,-93.22,88.0,58,1,3.36,US,2020-08-22 21:53:47
24,Kapaa,22.08,-159.32,86.0,62,20,13.87,US,2020-08-22 21:52:51
25,Mandalgovi,45.76,106.27,59.02,51,99,5.41,MN,2020-08-22 21:53:48
26,Tasiilaq,65.61,-37.64,48.2,64,47,10.29,GL,2020-08-22 21:53:49
27,Mataura,-46.19,168.86,46.0,98,98,1.99,NZ,2020-08-22 21:53:50
28,Arvika,59.66,12.59,62.01,93,70,11.41,SE,2020-08-22 21:53:50
29,Saint-Joseph,-21.37,55.62,66.2,59,16,5.82,RE,2020-08-22 21:53:51
30,Hay River,60.82,-115.8,52.11,84,100,9.95,CA,2020-08-22 21:53:51
31,Yellowknife,62.46,-114.35,60.01,58,75,14.99,CA,2020-08-22 21:50:49
32,Xilitla,21.33,-98.97,87.22,57,0,5.61,MX,2020-08-22 21:53:52
